Plot__name,Plot__url,Plot__Price,Plot__Beds,Property__Age,Build__Area,Plot__Area,Plot__Location,Plot__DESC,Plot__Area_Cents,Price_per_sqft,Price_per_cent,Total_Area,Build_to_Plot_Ratio,House_Size_Category,Standardized_Location_Name
"3 Bedroom House for sale in Udiyankulangara, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-udiyankulangara-trivandrum-2170-sq-ft-spid-E76315293,5500000.0,3.0,2.9262058102082835,1850.0,2170.0,85,Inside 50 metres from main junction Two wheeler access only,4.9816345270890725,2534.5622119815666,1104055.2995391705,4020.0,0.8525345622119815,Medium,udiyankulangara
"4 Bedroom House for sale in Kollamkavu, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-kollamkavu-trivandrum-1900-sq-ft-spid-E76232019,12500000.0,4.0,7.652785848098816,1900.0,7841.0,36,"An independent 1900sqft house with a 12cent backyard (Total 18 cent square plot) near nedumangad,pazhakutty.",18.000459136822773,1594.1844152531564,694426.731284275,9741.0,0.2423160311184798,Medium,kollamkavu
"3 Bedroom House for sale in Pachalloor, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-pachalloor-trivandrum-2175-sq-ft-spid-Y76191115,6500000.0,3.0,0.6075753585249072,1300.0,2175.0,58,3 bhk house for sale in 5 cents 3 car parking area 1300 sqfeet house all work including kitchen cupboard and work area completed,4.9931129476584015,2988.5057471264367,1301793.103448276,3475.0,0.5977011494252874,Medium,pachalloor
"5 Bedroom House for sale in Muttathara, Trivandrum",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-asan-nagar-muttathara-trivandrum-3101-sq-ft-spid-E76189511,13000000.0,5.0,2.6373172873156348,1959.0,3101.0,52,"Sale by owner - Home ( Muttathara , near enchakkal bypass) trivandrum, kerala state Plot area 7.122 cent Built up : 1959 sqft Parking garage, 5 beds & 3 bathrooms",7.118916437098255,4192.1960657852305,1826120.6062560466,5060.0,0.6317316994517898,Large,muttathara
"4 Bedroom House for sale in Kilimanoor, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-kilimanoor-trivandrum-2500-sq-ft-spid-X76106149,11500000.0,4.0,8.81320158415655,2500.0,8712.0,34,"20 cent good land front side road. Foreground good area and one covered car park Back side the home all trees like jackfruit, manago, coconut and many From side garden- And fruits trees like- Rambutan, mango, custard apple and pure water well also in front side and panchayat water connection available",20.0,1320.018365472911,575000.0,11212.0,0.2869605142332415,Medium,kilimanoor
"3 Bedroom House for sale in Karimanal, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-karimanal-trivandrum-12-sq-ft-spid-R76054909,17000000.0,3.0,7.238435819009595,1200.0,5227.0,27,Total 12 cent 1200 sqft house 3 bedroom with attached bathroom 100 m nearest new hospital aster medicity 200 m highway ( Nh bypass) 1.5 km lulu mall 250 m near school ( Mgm school),11.999540863177225,3252.3436005356803,1416720.8723933424,6427.0,0.22957719533193036,Medium,karimanal
"3 Bedroom House for sale in Shangumukham, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-shangumukham-trivandrum-1500-sq-ft-spid-S75979865,15000000.0,3.0,7.869057659453943,1500.0,3000.0,79,"I am looking for buyer to purchase house/villa available for sale in shankumugham, trivandrum. Available at price of rs 1.5 crores. It has plot area of 3000 sq ft. It has 3 bhk, 2 bathroom, 1 balcony.It is a freehold property",6.887052341597796,5000.0,2178000.0,4500.0,0.5,Medium,shangumukham
"4 Bedroom House for sale in Kallayam, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-kallayam-trivandrum-4356-sq-ft-spid-F75853661,8700000.0,4.0,7.208340175094208,2350.0,4356.0,19,"10 cent residential building with 4bhk attached,2350 sqft,nearby school, hospital,margin free market etc200 mtr away from kallayam junction",10.0,1997.2451790633609,870000.0,6706.0,0.539485766758494,Medium,kallayam
"3 Bedroom House for sale in Shangumukham, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-shangumukham-trivandrum-3049-sq-ft-spid-Q75733307,18500000.0,3.0,7.461917150372554,3000.0,3049.0,79,"Experience the perfect fusion of comfort and convenience with this exceptional property! Nestled in the heart of all saints, trivandrum, this home sits on a spacious 7-Cent plot, with 6 years old 3bhk house covering 3000 square feet.",6.999540863177226,6067.5631354542475,2643030.5018038703,6049.0,0.9839291571006887,Medium,shangumukham
"4 Bedroom House for sale in Manikanteswaram, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-manikanteswaram-trivandrum-1956-sq-ft-spid-W75730451,15000000.0,4.0,3.061864006922669,1722.0,1722.0,44,"2 storied - 4 bhk villa, near manikanteswaram temple. Video available.",3.9531680440771346,8710.801393728223,3794425.087108014,3444.0,1.0,Medium,manikanteswaram
"3 Bedroom House for sale in Thirumala, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-thirumala-trivandrum-1400-sq-ft-spid-T75700919,9700000.0,3.0,0.5601105459376933,1400.0,2614.0,84,House is constructed in main road in perkavu...It's has totally 6.05 cent house is constructed only 1400 sqft..Other side of area is can be used gardening or commercial purpose on your choose .97 lakhs is slightly negotiable.... Contact for more details and visiting the property ....All transport facilities is available.. Road sided house ... Nearby temple and church is here...Well facility available....,6.000918273645546,3710.788064269319,1616419.2807957155,4014.0,0.5355776587605203,Medium,thirumala
