Plot__name,Plot__url,Plot__Price,Plot__Beds,Property__Age,Build__Area,Plot__Area,Plot__Location,Plot__DESC
"3 Bedroom House for sale in Andoorkonam, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-andoorkonam-trivandrum-1525-sq-ft-spid-M75387679,3000000.0,3.0,2.631604948510251,1100.0,1524.0,3,"3.50 cents of land with 1100sqft house at thiruvalloor jn, kaniyapuram. 3.50 km from kaniyapuram nh. Location details - Kaniyapuram - Pachira - Keezhavoor - Thiruvalloor jn (Way to vavarambalam). 6 years old building. Ready to move condition. 2 km from technocity."
"3 Bedroom House for sale in Mudavanmugal, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-mudavanmugal-trivandrum-1200-sq-ft-spid-U75362629,9000000.0,3.0,8.578687405501407,1200.0,2178.0,50,"5 cents,1200 sqft., single storied house, 3bhk, red brick construction, 1 km from poojappura junction"
"4 Bedroom House for sale in Chittattumukku, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-chittattumukku-trivandrum-1800-sq-ft-spid-M75351429,6000000.0,4.0,2.873129074392667,1800.0,3048.0,12,"Sale 7cent with 4bedroom all attached bathrooms, spacious living dining rooms, kitchen and outside toilet near st vincent high school chittattumukku. All are available nearby schools, market, hospitals, etc."
"2 Bedroom House for sale in Dhanuvachapuram, Trivandrum",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-dhanuvachapuram-trivandrum-4356-sq-ft-spid-B75121841,6000000.0,2.0,0.3960930324209603,1500.0,4356.0,13,"10cent with 1500sqft house and one shop near dhanuvachapuram. 200meter away from manchavilakom junction. 1.5km away from dhanuvachapuram railway station. 1km away from govt hospital. 250meter away from manchavilakom govt school and 1km away from dhanuvachapuram school,college and iti."
"3 Bedroom House for sale in Chempazhanthy, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-chempazhanthy-trivandrum-1600-sq-ft-spid-A75081185,7500000.0,3.0,3.477086679527006,1600.0,1960.0,9,"House for sale near gandhipuram, 4.5 cent 1600 sqft."
"2 Bedroom House for sale in Nettayam, Trivandrum",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-nettayam-trivandrum-11-sq-ft-spid-J74113575,7500000.0,2.0,2.3955742501286297,600.0,4574.0,55,10.5 cents land 600sqrft home Calm and quite residential area in nettayam trivandrum
"5 Bedroom House for sale in Palkulangara, Trivandrum",https://www.99acres.com/5-bhk-bedroom-independent-house-villa-for-sale-in-palkulangara-trivandrum-1600-sq-ft-r1-spid-Y71900212,12000000.0,5.0,2.699092361698412,1600.0,2614.0,59,"House for selling. Only two year old. Only small car can be parked(Like alto,climber). Built with red bricks. 2.8 kms away from trivandrum international airport. 2.7 kms away from trivandrum central railway station 1.8 kms away from padmanabhaswamy temple. Total 6 cents"
"3 Bedroom House for sale in Pidaram, Trivandrum",https://www.99acres.com/3-bhk-bedroom-independent-house-villa-for-sale-in-pidaram-trivandrum-3049-sq-ft-spid-P73761359,5600000.0,3.0,6.612163333896998,1400.0,3049.0,69,"2 floor, 3bhk, east facing house (1400 sq ft)in 7cent. Hospital facility in 1.5 km. Super market, local market, petrol pump, schools all within 2 kms. Bus stop in 300 mtrs."
"4 Bedroom House for sale in tollmukku junction, Trivandrum",https://www.99acres.com/4-bhk-bedroom-independent-house-villa-for-sale-in-trivandrum-2250-sq-ft-spid-X73358423,8800000.0,4.0,0.40999661947923643,2250.0,4356.0,6,"2250 sqft,10 cent,4bhk house,4 bedroom with attached bathroom,750 m from tollmukku junction, 4 km from attinghal town,lorry site."
"2 Bedroom House for sale in Karyavattom, Trivandrum",https://www.99acres.com/2-bhk-bedroom-independent-house-villa-for-sale-in-karyavattom-trivandrum-1150-sq-ft-spid-M73182927,5500000.0,2.0,6.570719167425869,1150.0,2287.0,28,"Two stories house at mangattukonam, 3.5 km from karyavattom, 2 km from chenkottukonam, 1.5 km from st. Thomas public school. House in 5.25 cents fully constructed with redbrick and lorry access site"
